CustomerID,Recency,Frequency,Monetary
12472,90,13,6248.0
15646,36,4,432.0
17757,64,31,5645.0
17949,3,52,52751.0
14282,121,15,3768.0
12481,162,11,5606.0
13959,282,3,607.0
16805,,2,467.0
17980,,3,812.0
14472,64,8,1963.0
15607,162,1,106.0
13634,36,5,1585.0
12356,128,3,2810.0
13581,283,1,119.0
12435,,2,7831.0
12955,120,14,4733.0
18080,36,2,1231.0
16806,280,4,808.0
16226,,3,256.0
16185,,2,531.0
16587,,1,227.0
13213,95,6,1519.0
13300,,2,367.0
13430,,4,651.0
16747,183,4,830.0
12824,30,1,399.0
12827,152,3,435.0
17274,243,1,111.0
17357,,2,392.0
17767,,1,273.0
